Listing title,Price,Description
"
                London, Atmospheric Bloomsbury Flat
              ",116,"
    Entire home/flat · 13 reviews · St. Pancras, London

"
"
                En Suite Room in Modern Apartment!
              ",65,"
    Private room · 68 reviews · Shoreditch, Greater London

"
"
                Large room in heart of Shoreditch
              ",55,"
    Private room · 1 review · London

"
"
                Smart and central Notting Hill flat
              ",130,"
    Entire home/flat · 11 reviews · Notting Hill, Greater London

"
"
                Cosy 1 person bed in South London
              ",28,"
    Private room · 10 reviews · London

"
"
                **Striking** 2bed, Holborn frm £140
              ",140,"
    Entire home/flat · 31 reviews · Bloomsbury, London

"
"
                Lovely Room with Private Bathroom!!
              ",46,"
    Private room · 61 reviews · LB of Islington, London

"
"
                Central Waterloo Apartment
              ",65,"
    Private room · 2 reviews · Southwark, Greater London

"
"
                Small bright room in Bethnal Green
              ",45,"
    Private room · 33 reviews · Bethnal Green, London

"
"
                S/C Studio Apt. in Victorian House
              ",45,"
    Private room · 37 reviews · New Cross, London

"
"
                Heart of London 2014
              ",58,"
    Private room · 58 reviews · Southwark, London

"
"
                 Lrg Dbl Room Close Central London
              ",38,"
    Private room · 194 reviews · City of Westminster, London

"
"
                TOP FLOOR FLAT WITH BALCONY ZONE 1
              ",82,"
    Entire home/flat · 29 reviews · Lambeth, London

"
"
                Cosy 1 Bedroom flat Central London
              ",109,"
    Entire home/flat · 31 reviews · Paddington, London

"
"
                Central London double room 
              ",85,"
    Private room · 4 reviews · London

"
"
                Westminster-Private room with bath
              ",75,"
    Private room · 75 reviews · Westminster, London

"
"
                Quiet & Modern dbl room + bathroom
              ",55,"
    Private room · 71 reviews · Bethnal Green, London

"
"
                Luxury Shoreditch One Bed Apartment
              ",125,"
    Entire home/flat · 6 reviews · Bethnal Green, London

"
